threshold,coverage,review_rate,selective_accuracy,risk
0.5499999999999999,0.7676543209876543,0.23234567901234568,0.9250562881955613,0.0749437118044387
0.5599999999999999,0.7646913580246913,0.23530864197530865,0.9263803680981595,0.07361963190184051
0.57,0.7637037037037037,0.2362962962962963,0.9266084707403816,0.07339152925961845
0.58,0.7582716049382716,0.24172839506172838,0.9306414848583523,0.0693585151416477
0.59,0.7538271604938271,0.24617283950617283,0.9321978381919424,0.06780216180805765
0.5999999999999999,0.7501234567901235,0.24987654320987654,0.9335088874259381,0.06649111257406193
0.6099999999999999,0.745679012345679,0.254320987654321,0.9347682119205298,0.06523178807947017
0.6199999999999999,0.7412345679012345,0.25876543209876546,0.935709526982012,0.06429047301798796
0.6299999999999999,0.7350617283950617,0.26493827160493827,0.9392005374538126,0.0607994625461874
0.6399999999999999,0.7298765432098765,0.27012345679012345,0.9435047361299053,0.056495263870094736
0.6499999999999999,0.7271604938271605,0.27283950617283953,0.9443123938879456,0.055687606112054366
0.6599999999999999,0.7209876543209877,0.27901234567901234,0.9472602739726027,0.05273972602739729
0.6699999999999999,0.7167901234567902,0.2832098765432099,0.9490182569755425,0.05098174302445746
0.6799999999999999,0.7125925925925926,0.2874074074074074,0.9511434511434511,0.04885654885654889
0.69,0.7081481481481482,0.29185185185185186,0.9525801952580195,0.04741980474198049
0.7,0.7032098765432099,0.2967901234567901,0.9529494382022472,0.0470505617977528
0.71,0.6980246913580247,0.3019753086419753,0.9543685886098338,0.04563141139016624
0.72,0.6938271604938272,0.30617283950617286,0.9565836298932384,0.04341637010676158
0.73,0.6888888888888889,0.3111111111111111,0.9577060931899641,0.042293906810035864
0.74,0.682962962962963,0.31703703703703706,0.9591467823571945,0.04085321764280547
0.75,0.6787654320987654,0.32123456790123456,0.9599854492542743,0.040014550745725685
0.7599999999999999,0.6701234567901234,0.3298765432098765,0.9631540162122328,0.036845983787767156
0.7699999999999999,0.6674074074074074,0.3325925925925926,0.9644839067702553,0.035516093229744694
0.7799999999999999,0.6619753086419753,0.3380246913580247,0.9653114509511377,0.034688549048862316
0.7899999999999999,0.6562962962962963,0.3437037037037037,0.9657637321294206,0.03423626787057943
0.7999999999999999,0.6503703703703704,0.3496296296296296,0.969248291571754,0.03075170842824604
0.8099999999999998,0.6422222222222222,0.35777777777777775,0.9707804690503652,0.02921953094963481
0.8199999999999998,0.6358024691358025,0.36419753086419754,0.9724271844660194,0.02757281553398061
0.8299999999999998,0.6271604938271605,0.3728395061728395,0.9748031496062992,0.025196850393700787
0.8399999999999999,0.6175308641975309,0.38246913580246916,0.9772091163534586,0.02279088364654136
0.8499999999999999,0.6108641975308642,0.3891358024691358,0.9797898140662894,0.0202101859337106
0.8599999999999999,0.6009876543209877,0.39901234567901234,0.9819227608874281,0.018077239112571863
0.8699999999999999,0.5928395061728395,0.4071604938271605,0.982923781757601,0.01707621824239902
0.8799999999999999,0.5851851851851851,0.4148148148148148,0.9831223628691983,0.016877637130801704
0.8899999999999999,0.5765432098765432,0.42345679012345677,0.9841541755888651,0.015845824411134912
0.8999999999999999,0.5671604938271605,0.4328395061728395,0.9847627340008707,0.015237265999129335
0.9099999999999999,0.557037037037037,0.44296296296296295,0.9853723404255319,0.0146276595744681
0.9199999999999999,0.5449382716049382,0.4550617283950617,0.9868599909379248,0.013140009062075242
0.9299999999999999,0.5335802469135802,0.46641975308641975,0.987505784359093,0.012494215640907025
0.94,0.5167901234567901,0.4832098765432099,0.9894887720974678,0.010511227902532227
0.95,0.5,0.5,0.9901234567901235,0.00987654320987652
0.96,0.4758024691358025,0.5241975308641975,0.9906590555267255,0.009340944473274493
0.97,0.44839506172839505,0.551604938271605,0.9928414096916299,0.007158590308370072
0.98,0.4108641975308642,0.5891358024691358,0.9939903846153846,0.006009615384615419
0.99,0.3491358024691358,0.6508641975308642,0.9978783592644979,0.0021216407355021394
